#{"t_start": 1683782990.5241468, "env_id": null}
r,l,t
-94.600006,55,534.401357
-92.8,73,535.321817
-93.200005,69,535.563469
-93.4,67,536.430242
-94.600006,55,536.550269
-93.3,68,536.887206
-93.4,67,537.046171
-93.700005,64,537.569241
-95.0,51,537.856034
-95.0,51,537.982151
-95.0,51,538.203598
-92.3,78,539.04442
-95.0,51,539.682113
-92.4,77,540.464147
-92.8,73,541.086893
-93.3,68,541.762614
-94.600006,55,542.236704
-93.3,68,542.236773
-93.4,67,542.3187
-94.700005,54,542.395936
-93.5,66,542.773825
-91.700005,84,543.278453
-94.700005,54,543.27854
-94.100006,60,544.389719
-92.00001,81,544.442154
-94.700005,54,544.784572
-92.8,73,546.925825
-93.700005,64,546.92591
-94.8,53,547.506878
-93.4,67,547.640374
-93.200005,69,547.738863
-92.700005,74,548.190464
-92.8,73,548.601782
-92.700005,74,549.143885
-91.4,87,549.358165
-92.700005,74,579.508945
-92.600006,75,579.509053
-92.50001,76,579.907506
-94.700005,54,580.305793
-94.700005,54,581.009156
-93.5,66,581.253864
